temperature_celsius,temperature_fahrenheit,humidity,country,location_name,region,latitude,longitude,Alert
26.6,79.9,49,India,Auraiya,Uttar Pradesh,26.47,79.52,Moderate
23.7,74.7,75,India,Sant,Gujarat,23.2,73.87,Moderate
27.6,81.6,44,India,Jalaun,Uttar Pradesh,26.15,79.35,Moderate
23.5,74.3,62,India,Varanasi,Uttar Pradesh,25.33,83.0,Moderate
24.8,76.7,62,India,Gonda,Uttar Pradesh,27.13,81.93,Moderate
24.5,76.1,60,India,Jaunpur,Uttar Pradesh,25.73,82.68,Moderate
24.0,75.2,89,India,Bara Banki,Uttar Pradesh,26.92,81.2,Moderate
26.2,79.1,49,India,Mahoba,Uttar Pradesh,25.28,79.87,Moderate
23.4,74.2,62,India,Mirzapur,Uttar Pradesh,25.15,82.58,Moderate
24.9,76.8,62,India,Deoria,Uttar Pradesh,26.5,83.79,Moderate
24.0,75.2,89,India,Unnao,Uttar Pradesh,26.53,80.5,Moderate
24.3,75.7,56,India,Fatehpur,Rajasthan,29.92,77.24,Moderate
24.1,75.3,67,India,Mau,Uttar Pradesh,25.94,83.56,Moderate
24.8,76.6,55,India,Rae Bareli,Uttar Pradesh,26.22,81.23,Moderate
24.5,76.1,65,India,Amethi,Uttar Pradesh,28.02,81.05,Moderate
28.0,82.4,74,India,Ghaziabad,Uttar Pradesh,28.67,77.43,Moderate
24.1,75.4,57,India,Muzaffarnagar,Uttar Pradesh,29.47,77.68,Moderate
24.5,76.1,88,India,Buddha Gaya,Bihar,24.7,84.98,Moderate
23.5,74.3,62,India,Saharanpur,Uttar Pradesh,29.97,77.55,Moderate
26.1,79.0,49,India,Etawah,Uttar Pradesh,26.77,79.03,Moderate
28.1,82.7,41,India,Agra,Uttar Pradesh,27.18,78.02,Moderate
27.1,80.8,81,India,Cuddalore,Tamil Nadu,11.75,79.75,Moderate
27.0,80.6,84,India,Pudukkottai,Tamil Nadu,10.38,78.82,Moderate
24.6,76.4,84,India,Vellore,Tamil Nadu,12.93,79.13,Moderate
28.0,82.4,89,India,Chennai,Tamil Nadu,13.08,80.28,Moderate
26.6,79.8,88,India,Nagapattinam,Tamil Nadu,10.77,79.83,Moderate
28.0,82.4,89,India,Kancheepuram,Tamil Nadu,12.83,79.72,Moderate
23.6,74.5,79,India,Kanniyakumari,Tamil Nadu,8.08,77.55,Moderate
24.9,76.9,61,India,Allahabad,Uttar Pradesh,25.45,81.85,Moderate
23.3,74.0,63,India,Chandauli,Uttar Pradesh,25.27,83.27,Moderate
25.0,77.0,45,India,Jhansi,Uttar Pradesh,25.43,78.58,Moderate
26.7,80.0,52,India,Banda,Uttar Pradesh,25.48,80.33,Moderate
23.7,74.7,54,India,Lalitpur,Uttar Pradesh,24.68,78.42,Moderate
23.6,74.5,66,India,Ghazipur,Uttar Pradesh,25.58,83.57,Moderate
21.2,70.1,92,India,Krishnagiri,Tamil Nadu,12.53,78.23,Moderate
25.4,77.8,74,India,Erode,Tamil Nadu,11.35,77.73,Moderate
25.0,77.0,83,India,Coimbatore,Tamil Nadu,10.99,76.96,Moderate
23.3,74.0,69,India,Jhalawar,Rajasthan,24.6,76.15,Moderate
27.6,81.7,39,India,Alwar,Rajasthan,27.57,76.6,Moderate
24.0,75.2,61,India,Baran,Rajasthan,25.1,76.52,Moderate
26.6,79.9,47,India,Dhaulpur,Rajasthan,26.7,77.9,Moderate
25.7,78.3,57,India,Sawai Madhopur,Rajasthan,25.98,76.37,Moderate
22.1,71.7,77,India,Banswara,Rajasthan,23.55,74.45,Moderate
25.7,78.3,52,India,Karauli,Rajasthan,26.5,77.02,Moderate
22.3,72.2,79,India,Jangaon,Andhra Pradesh,17.6,78.88,Moderate
23.3,74.0,76,India,Mancherial,Andhra Pradesh,18.87,79.43,Moderate
22.6,72.6,80,India,Karimnagar,Andhra Pradesh,18.43,79.15,Moderate
21.3,70.3,82,India,Nizamabad,Andhra Pradesh,18.67,78.12,Moderate
22.0,71.5,79,India,Medak,Andhra Pradesh,18.03,78.27,Moderate
24.3,75.8,78,India,Nalgonda,Andhra Pradesh,17.05,79.27,Moderate
22.0,71.6,77,India,Adilabad,Andhra Pradesh,19.67,78.53,Moderate
21.8,71.3,78,India,Nirmal,Andhra Pradesh,19.1,78.35,Moderate
22.6,72.7,78,India,Jagtial,Andhra Pradesh,18.8,78.93,Moderate
23.0,73.4,78,India,Peddapalli,Andhra Pradesh,18.62,79.37,Moderate
22.0,71.5,79,India,Siddipet,Andhra Pradesh,18.1,78.85,Moderate
22.7,72.9,84,India,Khammam,Andhra Pradesh,17.25,80.15,Moderate
22.5,72.4,84,India,Warangal,Andhra Pradesh,18.0,79.58,Moderate
22.8,73.1,82,India,Suryapet,Andhra Pradesh,17.15,79.62,Moderate
24.0,75.2,74,India,Medchal,Andhra Pradesh,17.63,78.48,Moderate
24.0,75.2,74,India,Vikarabad,Andhra Pradesh,17.33,77.9,Moderate
22.9,73.3,69,India,Wanaparthy,Andhra Pradesh,16.37,78.07,Moderate
20.5,68.8,94,India,Tirap,Arunachal Pradesh,27.17,95.8,Moderate
22.3,72.2,97,India,Majuli,Assam,26.95,94.17,Moderate
26.3,79.3,89,India,Biswanath,West Bengal,22.04,88.05,Moderate
22.4,72.4,98,India,Hojai,Assam,26.0,92.87,Moderate
23.4,74.1,97,India,South Salmara,Assam,25.92,90.02,Moderate
21.4,70.6,78,India,Agar,Madhya Pradesh,23.7,76.02,Moderate
17.8,64.0,98,India,Kakching,Manipur,24.48,93.98,Mild
22.4,72.4,98,India,North Gauhati,Assam,26.2,91.72,Moderate
28.0,82.4,74,India,New Delhi,Delhi,28.6,77.2,Moderate
26.2,79.2,76,India,East Godavari,Andhra Pradesh,16.93,82.22,Moderate
27.0,80.6,94,India,South Suburban,West Bengal,22.5,88.3,Moderate
28.0,82.4,74,India,Shahdara,Delhi,28.67,77.32,Moderate
25.4,77.8,90,India,Jhargram,West Bengal,22.45,86.98,Moderate
24.0,75.2,60,India,Narayanpet,Andhra Pradesh,16.73,77.5,Moderate
28.0,82.4,74,India,Niwari,Uttar Pradesh,28.88,77.53,Moderate
21.8,71.2,99,India,Saitual,Mizoram,23.97,92.58,Moderate
26.0,78.8,83,India,Ranipet,Tamil Nadu,12.93,79.33,Moderate
21.2,70.1,76,India,Tenkasi,Tamil Nadu,8.97,77.3,Moderate
25.5,77.9,72,India,Pendra,Maharashtra,21.93,74.15,Moderate
22.7,72.9,67,India,Ashoknagar,Madhya Pradesh,24.57,77.72,Moderate
22.4,72.3,69,India,Raisen,Madhya Pradesh,23.33,77.8,Moderate
21.0,69.9,73,India,Chhindwara,Madhya Pradesh,22.07,78.93,Moderate
21.6,70.9,79,India,Betul,Madhya Pradesh,21.86,77.93,Moderate
21.7,71.1,79,India,Hoshangabad,Madhya Pradesh,22.75,77.72,Moderate
21.7,71.0,74,India,Sehore,Madhya Pradesh,23.2,77.08,Moderate
21.3,70.4,84,India,Jabalpur,Madhya Pradesh,23.17,79.95,Moderate
22.6,72.6,73,India,Narsimhapur,Madhya Pradesh,22.95,79.2,Moderate
24.0,75.2,64,India,Panna,Madhya Pradesh,24.72,80.2,Moderate
20.0,68.0,83,India,Ujjain,Madhya Pradesh,23.18,75.77,Mild
23.8,74.8,65,India,Rewa,Madhya Pradesh,24.53,81.3,Moderate
16.4,61.5,82,India,Dindori,Madhya Pradesh,22.95,81.08,Mild
21.9,71.5,82,India,Balaghat,Madhya Pradesh,21.78,80.25,Moderate
23.6,74.4,71,India,Barwani,Madhya Pradesh,22.03,74.9,Moderate
24.1,75.3,65,India,Satna,Madhya Pradesh,24.58,80.83,Moderate
24.0,75.2,64,India,Chhatarpur,Madhya Pradesh,24.9,79.6,Moderate
20.0,68.0,83,India,Indore,Madhya Pradesh,22.72,75.83,Mild
22.4,72.2,75,India,Ratlam,Madhya Pradesh,23.32,75.07,Moderate
23.0,73.4,67,India,Harda,Madhya Pradesh,22.33,77.1,Moderate
22.0,71.7,68,India,Sagar,Madhya Pradesh,23.83,78.72,Moderate
21.9,71.3,75,India,Neemuch,Madhya Pradesh,24.48,74.87,Moderate
24.4,75.9,58,India,Tikamgarh,Uttar Pradesh,24.73,78.83,Moderate
22.3,72.1,70,India,Guna,Madhya Pradesh,24.65,77.32,Moderate
21.5,70.7,77,India,Dewas,Madhya Pradesh,22.97,76.07,Moderate
22.0,71.7,75,India,Mandsaur,Madhya Pradesh,24.07,75.07,Moderate
23.6,74.4,71,India,Khargone,Madhya Pradesh,21.82,75.6,Moderate
24.5,76.2,58,India,Sheopur,Madhya Pradesh,25.67,76.7,Moderate
26.0,78.7,50,India,Morena,Madhya Pradesh,26.5,78.0,Moderate
27.2,81.0,44,India,Bhind,Madhya Pradesh,26.56,78.79,Moderate
23.7,74.7,69,India,Jhabua,Madhya Pradesh,22.77,74.6,Moderate
21.5,70.7,72,India,Seoni,Madhya Pradesh,22.08,79.53,Moderate
22.7,72.9,70,India,Khandwa,Madhya Pradesh,21.83,76.33,Moderate
20.9,69.7,80,India,Umaria,Madhya Pradesh,23.53,80.83,Moderate
26.1,79.0,47,India,Gwalior,Madhya Pradesh,26.22,78.18,Moderate
22.8,73.0,68,India,Damoh,Madhya Pradesh,23.83,79.45,Moderate
20.0,68.0,83,India,Dhar,Madhya Pradesh,22.6,75.3,Mild
28.0,82.4,89,India,Katni,Orissa,20.3,85.72,Moderate
22.1,71.8,77,India,Sidhi,Madhya Pradesh,24.42,81.88,Moderate
23.5,74.2,68,India,Alirajpur,Madhya Pradesh,22.3,74.35,Moderate
22.0,71.6,72,India,Bhopal,Madhya Pradesh,23.27,77.4,Moderate
26.4,79.6,47,India,Rajgarh,Rajasthan,27.23,76.63,Moderate
20.2,68.4,84,India,Mandla,Madhya Pradesh,22.6,80.38,Moderate
22.0,71.6,74,India,Shajapur,Madhya Pradesh,23.43,76.27,Moderate
22.6,72.6,63,India,Shivpuri,Madhya Pradesh,25.43,77.65,Moderate
25.2,77.3,53,India,Datia,Madhya Pradesh,25.67,78.47,Moderate
22.3,72.1,66,India,Burhanpur,Madhya Pradesh,21.3,76.23,Moderate
21.1,70.0,75,India,Anuppur,Madhya Pradesh,23.1,81.68,Moderate
21.1,70.0,81,India,Shahdol,Madhya Pradesh,23.28,81.35,Moderate
22.4,72.3,69,India,Vidisha,Madhya Pradesh,23.53,77.82,Moderate
23.0,73.4,85,India,Una,Gujarat,20.82,71.03,Moderate
18.9,66.0,49,India,Solan,Himachal Pradesh,30.92,77.12,Mild
25.5,77.9,60,India,Sirmaur,Madhya Pradesh,24.85,81.38,Moderate
14.3,57.8,45,India,Chamba,Himachal Pradesh,32.57,76.13,Mild
18.9,66.0,49,India,Shimla,Himachal Pradesh,31.1,77.17,Mild
22.8,73.0,78,India,Bilaspur,Chhattisgarh,22.08,82.15,Moderate
14.8,58.6,45,India,Kangra,Himachal Pradesh,32.1,76.27,Mild
16.3,61.4,44,India,Mandi,Himachal Pradesh,31.72,76.92,Mild
27.8,82.1,43,India,Hamirpur,Uttar Pradesh,25.95,80.15,Moderate
22.7,72.9,49,India,Talab Data,Jammu and Kashmir,32.65,74.93,Moderate
12.6,54.7,48,India,Anantnag,Jammu and Kashmir,33.73,75.15,Mild
7.3,45.2,69,India,Baramula,Jammu and Kashmir,34.21,74.34,Low
12.6,54.7,48,India,Kulgam,Jammu and Kashmir,33.65,75.02,Mild
12.6,54.7,48,India,Shupiyan,Jammu and Kashmir,33.72,74.83,Mild
22.7,72.9,49,India,Jammu,Jammu and Kashmir,32.73,74.87,Moderate
-0.8,30.6,46,India,Leh,Jammu and Kashmir,34.17,77.58,Extreme
10.4,50.8,57,India,Srinagar,Jammu and Kashmir,34.09,74.8,Mild
14.4,57.8,45,India,Doda,Jammu and Kashmir,33.13,75.57,Mild
9.1,48.5,57,India,Pulwama,Jammu and Kashmir,33.88,74.92,Low
16.8,62.2,49,India,Ramban,Jammu and Kashmir,33.25,75.25,Mild
10.4,50.8,57,India,Ganderbal,Jammu and Kashmir,34.23,74.78,Mild
22.7,72.9,49,India,Udhampur,Jammu and Kashmir,32.93,75.13,Moderate
10.4,50.8,57,India,Badgam,Jammu and Kashmir,34.02,74.72,Mild
27.8,82.0,46,India,Punch,Uttar Pradesh,25.82,79.05,Moderate
12.4,54.4,53,India,Kupwara,Jammu and Kashmir,34.03,74.26,Mild
23.0,73.3,49,India,Samba,Jammu and Kashmir,32.57,75.12,Moderate
22.9,73.2,44,India,Kathua,Jammu and Kashmir,32.37,75.52,Moderate
6.4,43.4,51,India,Kargil,Jammu and Kashmir,34.57,76.1,Low
10.0,49.9,52,India,Kishtwar,Jammu and Kashmir,33.32,75.77,Low
23.9,75.0,81,India,Daman,Daman and Diu,20.42,72.85,Moderate
25.2,77.4,79,India,Diu,Daman and Diu,20.7,70.98,Moderate
27.0,80.6,66,India,Bhavnagar,Gujarat,21.77,72.15,Moderate
22.2,72.0,81,India,Udaipur,Orissa,20.62,83.72,Moderate
26.6,79.9,74,India,Vadodara,Gujarat,22.3,73.2,Moderate
26.0,78.8,74,India,Kantha,Uttar Pradesh,26.58,80.75,Moderate
26.4,79.5,70,India,Surendranagar,Gujarat,22.7,71.68,Moderate
25.8,78.5,73,India,Anand,Gujarat,22.57,72.93,Moderate
24.1,75.4,75,India,Amreli,Gujarat,21.62,71.23,Moderate
23.7,74.7,69,India,Dohad,Gujarat,22.83,74.27,Moderate
24.8,76.7,75,India,Rajkot,Gujarat,22.3,70.78,Moderate
25.0,77.0,71,India,Mahesana,Gujarat,23.6,72.4,Moderate
25.5,77.9,72,India,Patan,Gujarat,23.83,72.12,Moderate
24.5,76.0,82,India,Bharuch,Gujarat,21.7,72.97,Moderate
25.3,77.5,79,India,Somnath,Gujarat,20.88,70.37,Moderate
22.8,73.0,87,India,Junagadh,Gujarat,21.52,70.47,Moderate
26.6,79.9,73,India,Dwarka,Gujarat,22.24,68.97,Moderate
24.9,76.8,78,India,Navsari,Gujarat,20.85,72.92,Moderate
25.3,77.5,77,India,Surat,Gujarat,20.97,72.9,Moderate
25.8,78.5,75,India,Jamnagar,Gujarat,22.47,70.07,Moderate
